q_code,e_text
F,机场不接受备降，因跑道道面修补.
M,下列滑行道关闭：1.Y1滑行道与J滑行道之间的T4滑行道.2.T3滑行道与K4滑行道之间的Y4滑行道.
M,"RWY06/24关闭,因维护."
X,"五台山机场ADS-B投产校飞，期间不定期对特殊代码7500,7600,鸭进行测试，测试航空器呼号：CFI015，机号：B10VD,高度：标准气压4,800米（含）以下，范围：以忻州VOR台为中心，半径46KM的圆9975F)SFCG)4800MAMSL"
I,RWY16R/34LILS不工作.
M,关闭L05滑行4848
M,关闭下列滑行道:1.V滑行道.2.V12滑行道.3.V13滑行道.4.V14滑行道.5.V16滑行道.6.V17滑行道.7.T3滑行道.8.E13滑行道以北的E滑行道.
F,"邮政航空公司维修机库项目临时围界工程不停航施工,区域如下：Z5滑行线以西781米至827米,Z7滑行线以北188米,以及Z7滑行线以南41米所围矩形区域.施工区域四周设置围挡，夜间设置红色警示灯."
M,"RWY06/24关闭,因维护."
M,关闭Z2滑行道与M4滑行道之间的F滑行道.
M,"关闭下列滑行道或滑行线:1.B滑行道至W6滑行道之间的T4滑行道(允许从W1滑行道,W4滑行道,W5滑行道穿越T4滑行道);2.L10,L11,L12,L12A,L20,L20A,L21,L21A滑行线;"
M,下列滑行道关闭：1.F0滑行道与F7滑行道之间的Z3滑行道.2.F1滑行道.3.F2滑行道.4.F3滑行道.5.Z9滑行道与F滑行道之间的F4滑行道.
M,关闭326机位至328机位之间的L15滑行4848
A,"下列航路（线）段高度在7,800M(含)以下禁航：1.B208航路（呼和浩特VOR'HET'-NIXAL)段，2.G343航路（土木尔台VOR'TMR'-NIXAL）段，3.W32航路（呼和浩特VOR'HET'-INTIK)段,4.W28航路（RURNU-KEVOB)段.F)FL000G)FL256"
I,"RWY08LOC不工作,因施工."
M,"RWY17L/35R关闭(允许从P1,P3,P4,P6滑行道穿越RWY17L/35R)跑道关闭期间,设置跑道临时关闭标志."
R,CNL.
M,关闭R4滑行道至R5滑行道之间的L08滑行4848
M,"RWY03/21关闭,因维护."
F,本场不接收翼展大于等于65米的航空器起降.
I,RWY31ILS恢复正常工0155
M,关闭D6滑行道至D14滑行道之间的D滑行道
M,"关闭下列滑行道或滑行线:1.B滑行道至L04滑行线之间的B5滑行道(包含L04滑行线与B5滑行道之间的交叉道口);2.B滑行道至L04滑行线之间的P5滑行道(包含L04滑行线与P5滑行道之间的交叉道口);3.L24滑行线至E滑行道之间的R3滑行道(包含L24滑行线与R3滑行道之间的交叉道口);4.L12,L12A滑行线;5.P5滑行道至B5滑行道之间的L04滑行线(包含P5滑行道与L04滑行线,B5滑行道与L04滑行线之间的交叉道口);6.E1滑行道至L19滑行道之间的L24滑行线;"
I,"RWY16LIM仅供测试,不可使用,因校飞."
M,RWY18R/36L关闭.
N,"福清VOR/DME'FQG'117.4MHZ/CH121X仅供测试，不提供使用,因维护."
M,跑道恢复正常使3938
R,"划设临时空中禁区:以N395915E116撒为中心,半径5KM范围内,高度:地面至无限高.禁止除涉奥航拍任务外一切飞行活动9975F)GNDG)UNL"
N,"济宁VOR/DME'JND'111.6MHZ/CH53X仅供测试,不可使用,因维护."
M,"111,112,114,115,116号停机位关闭,因施工."
M,关闭Z10滑行道.
I,RWY17LILS仅供测试，不可使用因校飞.
N,潍坊VOR/DME'WFG'116.6MHZ/CH113X不提供使用，因设备更新.
M,"关闭下列滑行道或滑行线:1.P6滑行道至Q3滑行道之间的C滑行道(允许从P4滑行道穿越C滑行道);2.P1滑行道至P6滑行道之间的D滑行道(允许从P2滑行道,P4滑行道穿越D滑行道);3.R4滑行道至T3滑行道之间的E滑行道;4.W6滑行道至F滑行道之间的T4滑行道;5.L07滑行线至T3滑行道之间的W7滑行道;"
M,"4号停机位关闭,因临时围界调整."
I,RWY06ILS恢复正常使用.
M,"关闭R5滑行道至R6滑行道之间的L08,L09滑行4848"
M,关闭T4滑行道与K6滑行道之间的K行道.
M,下列滑行道关闭：1.G2滑行道以南的Y1滑行道.2.G2滑行道以南的Y2滑行道.3.G0滑行道.4.G1滑行道.
M,"RWY07/25关闭,因维护."
M,见下一份通告.
M,"关闭下列滑行道或滑行线:1.R5滑行道至T4滑行道之间的E滑行道;2.E滑行道至F滑行道之间的R4滑行道(包含E滑行道与R4滑行道之间的交叉道口);3.B滑行道至E滑行道之间的T2滑行道(允许从V2滑行道,V3滑行道,V4滑行道,V5滑行道,V6滑行道,V7滑行道穿越T2滑行道);"
I,RWY16L/34RILS不工作.
N,杏林VOR/DME'XLN'114.7MHZ/CH94X恢复正1603
M,"因维护,关闭T3、T16滑行线."
F,"RWY03/21RVR设备A,B,C恢复正常使用."
I,CNL.
I,RWY17L/35RILS不工作.
M,RWY01L/19R关闭.
I,"RWY04ILS仅供测试,不可使用,因校飞."
M,"因维护,关闭J滑行道以北的A滑行道."
I,"RWY13ILS仅供测试,不可使用,因校飞."
M,关闭下列滑行道:1.B7滑行道.2.C滑行道以南的B9滑行道.3.B9滑行道与T2滑行道之间的B滑行道.
N,桃花VOR/DME'THA'114.7MHZ/CH94X不提供使用，因停机测试备件.
I,"DME07'IXX'CH40Y仅供测试,不可使用,因校飞."
M,"因维护,关闭下列滑行道:1.N滑行道,2.N滑行道以东的D滑行道."
M,"RWY17L/35R关闭.期间,航空器可由C2滑行道,C6滑行道穿越跑道,禁止由C3滑行道,C4滑行道，C5滑行道,C7滑行道穿越跑道."
N,滦县VOR/DME'LUX'117.1MHZ/CH118X不提供使用，因校飞.
M,CNLNTM.
N,"杏林VOR/DME'XLN'114.7MHZ/CH94X仅供测试,不提供使用,因校飞."
I,RWY17L/35RILS不工作.
M,下列滑行道关闭：1.F滑行道与Y7滑行道之间的S7滑行道.2.S6滑行道与S7滑行道之间的H滑行道.
I,RWY17L/35RILS仅供测试，不可使用因校飞.
M,关闭N4滑行道至N5滑行道之间的N滑行道.关闭区域设关闭标志和警示灯.
M,关闭下列滑行道或滑行线:1.位于C滑行道以西的P2滑行道;2.335机位至338机位之间的L15滑行线;
M,见下一份报.
A,"因临时活动,所有经H18航线中向塘VOR(KHN)-P47,所有高度关闭.原计划航路走浠水VOR(XSH)-W105-PEXEK-H18-青州NDB(DO)(来回)的航班改走:浠水VOR(XSH)-H17-景德镇VOR(JDZ)-H2-青州NDB(DO).原计划航路走OVTAN-H24-向塘VOR(KHN)-H18-青州NDB(DO)(来回)的航班改走:OVTAN-H24-P263-H2-青州NDB(DO).改航听从管制指挥.F)SFCG)UNL"
M,"RWY06/24关闭,因维修."
I,"RWY01LILS不提供使用,因飞行校验."
N,"无锡VOR/DME'VMB'113.9MHZ/CH86X仅供测试,不可使用,因维护."
F,"RWY13RVR设备A,RWY31RVR设备B不提供使用，因维护."
N,"秦皇岛VOR/DME'QHD'112.9MHZ/CH76X不提供使用,因飞行校验."
M,RWY01/19关闭.
X,"）以下;6.杭州进近03号管制扇区水平范围调整为:N302925E118漂-N301930E1193727-N301331E1201417-N301220E1202127-N294807E1201831-N293020E1201254-N291530E1193143-N282726E1192933-N282710E1185601-N280500E1183000-N280310E1182252-N281700E1180800-N282642E1175748-N293236E1181234-N294412E1181512-N302925E118漂连线范围内,垂直范围调整为:标准气压高度衬米（含）以下,杭州进近02,06,07号管制扇区除外;7.杭州进近04号管制扇区水平范围调整为:N302801E120虎-N30桑E1205526-N301220E1202127-N301331E1201417-N302747E1200456-N303902E1204300-N302908E1205541-N302801E120虎连线范围内,垂直范围调整为:标准气压高度睛米（含）以下;8.杭州进近05号管制扇区水平范围调整为"
I,"RWY18ILS仅供测试,不可使用，因校飞."
N,"石湫VOR/DME'SNQ'115.75MHZ/CH104Y不工作,因停机."
I,"DME06'ISQ'CH24X仅供测试,不可使用,因校飞."
M,关闭下列滑行道:1.B7滑行道.2.C滑行道以南的B9滑行道.3.B9滑行道与T2滑行道之间的B滑行道.
M,"关闭B滑行道至E滑行道之间的T2滑行道(允许从V2滑行道,V3滑行道,V4滑行道,V5滑行道,V6滑行道,V7滑行道穿越T2滑行道)"
F,"10月份,首都机场地区鸟类进入迁徙高峰期,需重点关注的鸟类有：云雀和百灵（高度0-100米）,家鸽（高度0-100米），乌鸦（高度0-200米），小型猛禽（高度0-100米），迁徙鸟类（0-1，000米）.请机组人员注意."
M,"3号停机位关闭,因施工."
M,"关闭下列滑行道或滑行线:1.P4滑行道至P6滑行道之间的C滑行道;2.Q3滑行道至P1滑行道之间的C滑行道(允许从P2滑行道穿越C滑行道);3.P1滑行道至P6滑行道之间的D滑行道(允许从P2滑行道,P4滑行道穿越D滑行道);"
M,"关闭下列滑行道或滑行线:1.B8滑行道至P1滑行道之间的A滑行道(允许从P2滑行道,P4滑行道,P5滑行道穿越A滑行道);2.D滑行道至A滑行道之间的P3滑行道(包含A滑行道与P3滑行道之间的交叉道口);3.D滑行道至A滑行道之间的P6滑行道(包含A滑行道与P6滑行道之间的交叉道口);"
M,"关闭下列滑行道或滑行线:1.L20,L20A,L21,L21A滑行线;2.B6滑行道至P5滑行道之间的L04滑行线;"
M,CNLNTM.
P,青州导航台更新期间:1.DO-01A进场程序DO-P326航段、DO-03A进场程序DO-(R315度/D33.6JNJ)航段需雷达引导.2.DO-04A进场程序DO-P326航段、DO-02A进场程序DO-(R315度/D33.6JNJ)航段需雷达引导.
N,"闻堰NDB'WY'572KHZ仅供测试,不可使用,因校飞."
I,"RWY34LDME'ICG'CH42X不提供使用,因设备检修."
M,关闭Z7滑行道与Z3滑行道之间的Z2滑行道.
I,RWY16ROM不提供使用.
M,RWY18L/36R不能用于降落紧急备降除1120
M,"N滑行道以西的A滑行道关闭,因维护."
M,"RWY18L/36R关闭.期间,航空器可由A0滑行道和A1滑行道穿越跑道,禁止由A8滑行道和A9滑行道穿越跑道."
M,RWY16L/34R关闭.跑道关闭期间，需穿越该跑道的航空器仅可使用W1和Y9滑行道.
M,关闭下列滑行道或滑行线:1.位于C滑行道以西的Q2滑行道;2.339机位至341机位之间的L15滑行线;
I,"RWY36ILS仅供测试,不可使用,因校飞."
M,"滑行道A关闭,因维护."
M,"RWY07/25关闭,因维护."
M,"RWY01/19关闭,因维护."
M,关闭下列滑行道:1.W1滑行道.2.W2滑行道.3.G滑行道与326机位之间的T7滑行道.4.G滑行道与W2滑行道之间的T8滑行道.5.G滑行道与W2滑行道之间的T9滑行道.6.G滑行道以东的E5滑行道.7.T6滑行道与E5滑行道之间的D滑行道.8.T6滑行道与E5滑行道之间的E滑行道.
M,"关闭V2滑行道至V7滑行道之间的L19滑行道(允许从V3滑行道,V4滑行道,V5滑行道,V6滑行道穿越L19滑行道)"
M,B滑行道至Q3滑行道之间的Q滑行道关闭，因维护.
M,关闭C2滑行道与Z4滑行道之间的D1滑行道.
X,2.沿W56经ORODO去往北京首都机场，天津滨海机场落地的航空器，安全报告位置点为：ORODO（向北京区管中心报告）3.沿W62经ORODO去往北京大兴机场落地的航空器，安全报告位置点为：ORODO（向北京区管中心报告）4.沿G212经TONOV去往北京首都机场，北京大兴机场，天津滨海机场落地的航空器，安全报告位置点为：TONOV（向北京区管中心报告）5.沿W64经PUKOL去往北京大兴机场落地的航空器，安全报告位置点为：PUKOL（向北京区管中心报告）6.沿
M,16-22号停机位机身长度限制变更为44.51米（含）以下.
I,"RWY05ILS仅供测试,不可使用，因校飞."
O,"机场新增障碍物数据（相对跑道中心)：（15千米-50千米内）：障碍物名称磁方位（度）距离（米)海拔高度（米）坐标控制障碍物及涉及航段/起飞航径区重要障碍物风机08234,8431,633N351119E111敢风机08531,2101,488N350951E1112208风机09122,504836N350750E111广RWY26RNP接盲降中间进近控制障碍物风机10423,875972N35制E1111723RWY26起始进近控制障碍物风机116"
M,"501-506停机位进出方式,由自滑进出改为自滑进顶推出."
F,本场不接收翼展36米(不含)以上的航空器起降.
I,"RWY01ILS仅供测试,不可使用,因校飞."
A,"下列航路（线）段高度在6,600M(不含)以下禁航：1.W64航路（VALNI-UBRAG)段，2.W69航路(DUDIL-TOREL）段.F)FL000G)FL216"
M,关闭下列滑行道:1.V滑行道.2.V12滑行道.3.V13滑行道.4.V14滑行道.5.V16滑行道.6.V17滑行道.7.T3滑行道.8.E13滑行道以北的E滑行道.
A,"因临时活动,所有经H18航线中向塘VOR(KHN)-P47,所有高度关闭.原计划航路走浠水VOR(XSH)-W105-PEXEK-H18-青州NDB(DO)(来回)的航班改走:浠水VOR(XSH)-H17-景德镇VOR(JDZ)-H2-青州NDB(DO).原计划航路走OVTAN-H24-向塘VOR(KHN)-H18-青州NDB(DO)(来回)的航班改走:OVTAN-H24-P263-H2-青州NDB(DO).改航听从管制指挥.F)SFCG)UNL"
I,"DME03'ICC'CH44X不工作,因扩建施工.."
M,"B滑行道至Q3滑行道之间的P、Q滑行道关闭,因维护."
M,"RWY13/31关闭,因除雪."
M,见下一份通告.
M,1-4号停机位坐标变更如下：停机位编号坐标1号停机位N303505.5E1170249.02号停机位N303505.7E1170250.33号停机位N303506.3E1170251.64号停机位N303506.8E1170253.1
M,见下一份报9975
I,"RWY05ILS仅供测试,不可使用，因校飞."
M,关闭下列滑行道或滑行线:1.P2滑行道至B2滑行道之间的L02滑行线;2.R3滑行道至L19滑行道之间的L24滑行线;
M,"RWY07/25关闭,因维护."
M,"402,403号停机位关闭9975"
I,"RWY23DME'IYT'CH22X仅供测试,不可使用,因校飞."
M,关闭R5滑行道至T4滑行道之间的E滑行道(允许从R4滑行道穿越E滑行道)
I,DME21'INC'CH42X恢复正常使用.
M,关闭L18滑行线.
L,A5滑行道中线灯恢复正常使用.
M,"跑道03/21关闭,因施工."
M,下列滑行道关闭：1.J3滑行道与J滑行道之间的Y6滑行道.2.Y6滑行道与T5滑行道之间的J3滑行道.3.Y6滑行道与T5滑行道之间的J4滑行道.
F,本场不接收翼展大于等于65米的航空器起降.
M,关闭下列滑行道:1.A滑行道.2.T5滑行道以南的B滑行道.3.T5滑行道以南的C滑行道.
I,"IM06仅供测试,不可使用,因校飞."
M,"新增停机位限制：1、74A号停机位（试车机位）使用时,71号停机位禁止停放航空器.2、74号停机位（隔离机位）使用时,71号停机位禁止停放航空器.3、280号停机位（隔离机位）使用时,280A号停机位禁止停放航空器."
M,跑道03/21关闭，因施工.
M,CNL.
N,"禄口VOR/DME'NJL'113.6MHZ/CH83X仅供测试,不可使用,因校飞及维护."
A,"因临时活动,除经浠水VOR(XSH)至昌北、九江、赣州,其他所有经浠水VOR(XSH)-W105-PEXEK-H18-向塘VOR(KHN)-青州NDB(DO)(来回),高度7,200米(含)以下航班改航.改航后为(来回):浠水VOR(XSH)-H17-景德镇VOR(JDZ)-H2-青州NDB(DO).改航听从管制指挥.F)FL000G)FL236"
I,RWY18L/36RILS仅供测试，不可使用因维护.
M,关闭B滑行道至E滑行道之间的T1滑行道(允许从V2滑行道穿越T1滑行道)
I,"DME01'IXI'CH44X仅供测试,不提供使用,因校飞."
M,关闭L05滑行4848
M,关闭下列滑行道或滑行线:1.H3滑行道至D16滑行道之间的D滑行道;2.A滑行道至B滑行道之间的H1滑行道;
M,见下一份通告.
M,A滑行道以北的A5滑行道仅供航空器脱离跑道使用.
M,关闭下列滑行道:1.Z4滑行道.2.Z5滑行道.3.T5滑行道以北的Z1滑行道.4.T5滑行道以北的Z2滑行道.5.T5滑行道以北的Z3滑行道.6.Z6滑行道.7.Y1滑行道与B滑行道之间的T4滑行道.8.Y0滑行道以东的Z0滑行道.9.T5滑行道以北的Y0滑行道.10.Z7滑行道与T5滑行道之间的C滑行道.
I,DME17R'IXE'CH56X限制性使用：在600米高度，距台10.7海里至11.7海里范围内不可用.
I,"RWY21LOC仅供测试,不提供使用,因维护."
M,见下一份报.
M,"滑行道A关闭,因维护."
M,"B滑行道以西的A滑行道关闭,因施1562"
M,关闭下列滑行道:1.V滑行道.2.V12滑行道.3.V13滑行道.4.V14滑行道.5.V16滑行道.6.V17滑行道.7.T3滑行道.8.E13滑行道以北的E滑行道.
L,"RWY13PAPI不提供使用,因校飞."
M,关闭下列滑行道或滑行线:1.B滑行道至L04滑行线之间的B6滑行道(包含L04滑行线与B6滑行道之间的交叉道口);2.L24滑行线至E滑行道之间的E1滑行道(包含L24滑行线与E1滑行道之间的交叉道口);3.P5滑行道至P6滑行道之间的L04滑行线;4.E1滑行道至E3滑行道之间的L23滑行线(包含E1滑行道与L23滑行线之间的交叉道口);5.E3滑行道至R3滑行道之间的L24滑行线;
I,"RWY33ILS仅供测试,不可使用,因校飞."
M,滑行道L限制为翼展65米（不含）以下的航空器滑行.
M,1.关闭D2滑行道与D8滑行道之间的S4滑行道.2.关闭S3滑行道与S5滑行道之间的D4滑行道.
A,"因临时活动,所有经H18航线中向塘VOR(KHN)-P47,所有高度关闭.原计划航路走浠水VOR(XSH)-W105-PEXEK-H18-青州NDB(DO)(来回)的航班改走:浠水VOR(XSH)-H17-景德镇VOR(JDZ)-H2-青州NDB(DO).原计划航路走OVTAN-H24-向塘VOR(KHN)-H18-青州NDB(DO)(来回)的航班改走:OVTAN-H24-P263-H2-青州NDB(DO).改航听从管制指挥.F)SFCG)UNL"
M,"RWY06/24关闭,因维护."
M,"关闭下列滑行道或滑行线:1.B滑行道至L04滑行线之间的B4滑行道(包含L04滑行线与B4滑行道之间的交叉道口);2.L12,L12A滑行线;3.P4滑行道至B3滑行道之间的L04滑行线;"
F,本场不接收非紧急情况下的备降航班.
I,"RWY17RILS不提供使用,因设备维护."
I,"RWY34RILS仅供测试,不可使用,因校飞."
M,N滑以东的D滑行道关闭.
M,CNLNTM.
I,"RWY07ILS仅供测试,不可使用,因校飞."
X,已编入永久性资料9975
M,RWY11L/29R关闭.
M,"关闭下列滑行道或滑行线:1.G,H滑行道;2.G滑行道至H滑行道之间的R1滑行道(包含G滑行道与R1滑行道,H滑行道与R1滑行道之间的交叉道口);3.G滑行道至H滑行道之间的R6滑行道(包含G滑行道与R6滑行道,H滑行道与R6滑行道之间的交叉道口);"
M,关闭下列滑行道或滑行线:1.位于C滑行道以西的Q3滑行道;2.326机位至332机位之间的L15滑行线;
I,"RWY18LILS不提供使用,因设备维护."
M,"关闭下列滑行道或滑行线:1.P2滑行道至T2滑行道之间的B滑行道;2.B滑行道至L02滑行线之间的B2滑行道(包含B滑行道与B2滑行道之间的交叉道口);3.R1滑行道至E7滑行道之间的F滑行道(允许从R2滑行道,R5滑行道,R6滑行道穿越F滑行道);4.G滑行道至F滑行道之间的R3滑行道(包含F滑行道与R3滑行道之间的交叉道口);5.G滑行道至F滑行道之间的R4滑行道(包含F滑行道与R4滑行道之间的交叉道口);"
M,"RWY18R/36L关闭(允许从H1,H4滑行道穿越RWY18R/36L)."
X,2.沿W56经ORODO去往北京首都机场，天津滨海机场落地的航空器，安全报告位置点为：ORODO（向北京区管中心报告）3.沿W62经ORODO去往北京大兴机场落地的航空器，安全报告位置点为：ORODO（向北京区管中心报告）4.沿G212经TONOV去往北京首都机场，北京大兴机场，天津滨海机场落地的航空器，安全报告位置点为：TONOV（向北京区管中心报告）5.沿W64经PUKOL去往北京大兴机场落地的航空器，安全报告位置点为：PUKOL（向北京区管中心报告）6.沿
M,关闭下列滑行道或滑行线:1.位于C滑行道以西的P2滑行道;2.335机位至338机位之间的L15滑行线;
K,CHECKLISTYEAR=20192968YEAR=202114303970555458025812581360286179621264176502651965976598666666676814681568296830697370237117717572487257726172627278731273867387738873957398741774347440750175027505752075217550755175527583758476047683768476857694770677377833789179247942803281428177817881908196819782038204820582318235825082628263827782818282830683178359836183628426845384638465847084888489849084928493849484958496YEAR=2022000900100062008701350136013701550248026002610330033203490350035503560366038303930394039804030404041504160417041804850493049605190522052305240525052605280535053805390540054105480555055605620565057505760577057805790580058105820583058405850586058705940607060806090610061106120615061806200622062306250626062706280629063106340635
M,关闭H6滑行道与H5滑行道之间的H滑行道.
R,"划设临时危险区,以N3852E1央为中心,半径20公里范围内,地表至无限高.F)SFCG)UNL"
L,RWY09PAPI恢复正常使用.
M,关闭下列滑行道或滑行线:1.D14滑行道至D17滑行道之间的D滑行道;2.RWY18R/36L至C滑行道之间的H7滑行道;
M,"N滑行道以东的D滑行道关闭,因维护."
A,"下列航路（线）段高度在6,600米（不含）以下禁航：1.W220航路（SANID-BAV）段，2.W72航路（VIKON-OMGEL）段，3.W69航路（P526-EGILO）段，4.W64航路（P527-OMGEL）段.F)FL000G)FL216"
M,A滑行道关闭.
R,"划设临时危险区,以N3852E1央为中心，半径20公里范围内，地表至无限高9975F)SFCG)UNL"
M,关闭C滑行道与Z3滑行道之间的T6滑行道.
M,CNLNTM.
M,下列滑行道关闭：1.Z18滑行道.2.M6滑行道与M3滑行道之间的Z3滑行道.3.Z18滑行道与Z3滑行道之间的M4滑行道.4.Z18滑行道与Z3滑行道之间的M5滑行道.
M,"G滑行道关闭,因道面抢修9975"
I,"RWY24ILS仅供测试,不可使用,因校飞."
M,"RWY16L/34R关闭跑道关闭期间,设置跑道临时关闭标志."
M,关闭C滑行道与D3滑行道之间的Z4滑行道.
M,关闭下列滑行道:1.A滑行道.2.T5滑行道以南的B滑行道.3.T5滑行道以南的C滑行道.
M,关闭下列滑行道:1.Y9滑行道2.E10滑行道3.E11滑行道4.G滑行道以东的Y6滑行道5.G滑行道以东的Y7滑行道6.G滑行道以东的Y8滑行道7.E6滑行道以北的Y5滑行道8.E6滑行道与E13滑行道之间的E滑行道.
M,RWY18R/36L关闭.
P,参阅NAIP航图手册ZBTJ-5D（EFF2020-1-2），修改复飞程序：直线上升至200米/700英尺，右转飞向TJ832，高度严格控制600米/2，000英尺保持，左转飞至TJ864，高度1，200米/3，900英尺，加入等待；或听从ATC指令.复飞航空器在转弯高度以上，可以跑道入口转弯或提前转弯.
M,"关闭下列滑行道或滑行线:1.G,H滑行道;2.G滑行道至H滑行道之间的R1滑行道(包含G滑行道与R1滑行道,H滑行道与R1滑行道之间的交叉道口);3.G滑行道至H滑行道之间的R6滑行道(包含G滑行道与R6滑行道,H滑行道与R6滑行道之间的交叉道口);"
I,RWY16R/34LILS不工作.
N,"连江VOR/DME'LJG'117.6MHZ/CH123X关闭,因更新改造."
M,100至113号航空器停机位关闭.
M,"N滑行道以西的C、D滑行道关闭,因维护."
M,"关闭下列滑行道或滑行线:1.A2,B4滑行道;2.D15滑行道至D17滑行道之间的D滑行道;"
N,"重固VOR/DME'CGT'112.5MHZ/CH72X仅供测试,不可使用,因维护."
L,C4滑行道与B滑行道交叉道口的滑行道中线灯不提供使用，因道面维护9975
M,"关闭H3滑行道至D6滑行道,D15滑行道至D16滑行道之间的D滑行道"
I,RWY17ILS恢复正常.
M,滑行道恢复正常使3938
M,下列滑行道关闭：1.Z12滑行道与Z9滑行道之间的Z0滑行道.2.F0滑行道与Z0滑行道之间的Z3滑行道.3.Z0滑行道与Z3滑行道之间的F0滑行道.4.Z0滑行道与Z3滑行道之间的F1滑行道.
I,"RWY25ILS仅供测试,不可使用,因校飞."
I,RWY21ILS仅供测试，不可使用，因校飞.
F,"RWY03/21RVR设备A不提供使用,因维护."
I,RWY16R/34LILS不工作.
M,关闭下列滑行道或滑行线:1.M2滑行线;2.H4滑行道至K5滑行道之间的L01滑行线;
M,"N滑行道关闭,因维护."
M,"关闭下列滑行道或滑行线:1.A1,A2,A3,A4,B1,B2,B3,B4,B5,B6,B7,B8,T1,T6,K2,K4,K5,K6,K7滑行道;2.RWY18R/36L至B滑行道之间的H2,H3,H5,H6滑行道;3.K1滑行道至H7滑行道之间的A滑行道;4.H1滑行道至H7滑行道之间的B滑行道;5.RWY18R/36L至L01滑行线之间的H4滑行道;"
A,"下列航路（线）段高度在6,600M(不含)以下禁航：1.W64航路（VALNI-UBRAG)段，2.W69航路(DUDIL-TOREL）段.F)FL000G)FL216"
I,"DME29'IBY'CH22X不提供使用,因维护."
M,RWY01/19关闭，因维护.
M,关闭下列滑行道:1.W1滑行道.2.W2滑行道.3.G滑行道与326机位之间的T7滑行道.4.G滑行道与W2滑行道之间的T8滑行道.5.G滑行道与W2滑行道之间的T9滑行道.6.G滑行道以东的E5滑行道.7.T6滑行道与E5滑行道之间的D滑行道.8.T6滑行道与E5滑行道之间的E滑行道.
M,"RWY18L/36R关闭.期间,航空器可由A8滑行道和A9滑行道穿越跑道,禁止由A0滑行道和A1滑行道穿越跑道."
I,RWY17R/35LILS不工作.
I,"RWY06ILS仅供测试,不可使用,因校飞."
I,RWY17RILS仅供测试，不可使用因校飞.
M,"跑道03/21关闭,因施工."
I,"RWY13ILS仅供测试,不可使用."
M,RWY11L/29R关闭.
M,RWY07/25恢复正常使用.
N,"邳县VOR/DME'DPX'112.4MHZ/CH71X关闭,因停机维护."
M,"B滑行道至Q2滑行道之间的Q滑行道关闭,因维护."
I,"RWY17ILS仅供测试,不可使用,因校飞."
M,关闭下列滑行道:1.V滑行道.2.V12滑行道.3.V13滑行道.4.V14滑行道.5.V16滑行道.6.V17滑行道.
I,"IM06仅供测试,不可使用,因校飞."
A,"下列航路（线）段高度在6,600M(不含)以下禁航：1.W64航路（VALNI-UBRAG)段，2.W69航路(DUDIL-TOREL）段.F)FL000G)FL216"
M,关闭下列滑行道:1.V滑行道.2.V12滑行道.3.V13滑行道.4.V14滑行道.5.V16滑行道.6.V17滑行道.7.J滑行道.8.J13滑行道.9.J滑行道以西的T3滑行道.
M,见下一份通告.
F,无锡地面工作时间由0930-懑更改为0630-2230.
N,CNL.
I,"RWY07ILS仅供测试,不可使用,因校飞."
M,"关闭下列滑行道或滑行线:1.E7滑行道至R1滑行道之间的F滑行道(包含R1滑行道与F滑行道之间的交叉道口;允许从R2滑行道,R3滑行道,R5滑行道,R6滑行道穿越F滑行道);2.F滑行道至G滑行道之间的R1滑行道(包含F滑行道与R1滑行道之间的交叉道口);3.F滑行道至G滑行道之间的R4滑行道(包含F滑行道与R4滑行道之间的交叉道口);"
M,CNL
M,C13滑行道至Q滑行道之间的C滑行道关闭，因维护.
M,"关闭下列滑行道或滑行线:1.R1滑行道至R2滑行道之间的E滑行道(包含R1滑行道与E滑行道之间的交叉道口);2.E7滑行道至R1滑行道之间的F滑行道(包含R1滑行道与F滑行道之间的交叉道口;允许从R2滑行道,R3滑行道,R4滑行道,R5滑行道穿越F滑行道);3.R5滑行道至R6滑行道之间的G滑行道(包含R6滑行道与G滑行道之间的交叉道口);4.E滑行道至G滑行道之间的R1滑行道(包含E滑行道与R1滑行道之间的交叉道口);5.F滑行道至RWY16L/34R之间的R6滑行道(包含F滑行道与R6滑行道之间的交叉道口);"
M,关闭下列滑行道:1.Y4滑行道.2.T5滑行道以北的Y1滑行道.3.T5滑行道以北的Y2滑行道.4.T5滑行道以北的Y3滑行道.5.Y6滑行道以南的Y5滑行道.6.Y1滑行道与Y0滑行道之间的Z0滑行道.7.G滑行道以东的E6滑行道.8.Y6滑行道与T5滑行道之间的E滑行道.9.G滑行道与Y0滑行道之间的T4滑行道.
N,"潍坊VOR/DME'WFG'116.6MHZ/CH113X仅供测试,不可使用."
M,C13滑行道至Q滑行道之间的C滑行道.
M,"RWY06/24关闭,因维护."
F,"机场关闭,因施工."
M,"关闭下列滑行道或滑行线:1.P6滑行道至P1滑行道之间的C滑行道(包含P6滑行道与C滑行道之间的交叉道口;允许从P4滑行道,P2滑行道穿越C滑行道);2.P6滑行道至P1滑行道之间的D滑行道(包含P6滑行道与D滑行道之间的交叉道口;允许从P4滑行道,P2滑行道穿越D滑行道);3.C滑行道至D滑行道之间的P6滑行道(包含C滑行道与P6滑行道,D滑行道与P6滑行道之间的交叉道口);"
N,"沙子营VOR/DME'SZY'117.2MHZ/CH119X不提供使用,因维护."
I,RWY17L/35RILS不工作.
